City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Palmer,US,74.66,haze,42.1584,-72.3287,Wedgewood Motel
175,Caravelas,BR,71.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
178,Muros,ES,65.08,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
180,North Bend,US,62.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
181,Vagur,FO,50.34,overcast clouds,61.4732,-6.8119,The Scouts House Camping
182,Bhopal,IN,77.23,haze,23.2667,77.4,SPOT ON 63658 Shukla Lodge
183,Codrington,AU,52.3,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
186,Khatanga,RU,58.03,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
187,Gold Coast,AU,66.18,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
189,Marinette,US,63.72,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
190,Sabha,LY,78.85,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
191,Cabedelo,BR,70.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
192,Sterling,US,81.01,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
193,Haines Junction,CA,73.35,few clouds,60.7522,-137.5108,Parkside Inn
194,Atuona,PF,77.79,broken clouds,-9.8,-139.0333,Villa Enata
195,Jieshi,CN,85.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
196,Namibe,AO,63.3,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
197,Aloleng,PH,81.43,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
198,Grand Gaube,MU,71.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
200,Saint-Joseph,RE,68.36,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
201,Bayir,TR,63.12,clear sky,37.2687,28.2167,Hotel Babadag
203,Graham,US,72.34,few clouds,47.0529,-122.2943,Moxie Meadows Hostel
204,Aviles,ES,65.93,overcast clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
205,Bubaque,GW,81.23,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
208,La Ronge,CA,68.25,smoke,55.1001,-105.2842,Northland Motor Hotel
210,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
211,Helena,US,72.59,overcast clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
212,Kismayo,SO,76.84,overcast clouds,-0.3582,42.5454,Agan-Hotel
213,Kaeo,NZ,60.33,overcast clouds,-35.1,173.7833,Bushido Lodge
214,Airai,TL,73.17,scattered clouds,-8.9266,125.4092,Juvinal Martin
215,Guilford,US,74.1,overcast clouds,36.0668,-79.7998,Marriott Greensboro Downtown
216,Seredka,RU,56.95,few clouds,58.1584,28.1858,Lesnoy Oazis
217,Sangmelima,CM,66.51,overcast clouds,2.9333,11.9833,gamestar hotel
218,Nieuw Nickerie,SR,78.26,scattered clouds,5.95,-56.9833,Ishwardat Inn
219,Vestmannaeyjar,IS,52.54,overcast clouds,63.4427,-20.2734,Glamping & Camping
220,Flinders,AU,58.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
221,Moree,AU,50.02,broken clouds,-29.4667,149.85,Molika Springs Motel
222,Tongren,CN,86.27,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
223,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
224,Bengkulu,ID,82.71,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
225,Petatlan,MX,79.32,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
226,Vila Velha,BR,60.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
227,Labuhan,ID,84.99,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
228,Ukhta,RU,62.49,few clouds,63.5671,53.6835,Domashny Ochag
229,Mawlaik,MM,80.74,overcast clouds,23.6333,94.4167,AKZ Guest House
232,Hokitika,NZ,53.56,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
233,Kirakira,SB,83.46,scattered clouds,-10.4544,161.9205,SanBiz Lodge
235,Medzev,SK,61.75,scattered clouds,48.7004,20.8937,SoKoL
236,Stornoway,GB,53.92,overcast clouds,58.2093,-6.3865,Caladh Inn
237,Griffith,US,73.33,broken clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
238,Puerto Del Rosario,ES,69.55,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
239,Wegrow,PL,64.6,broken clouds,52.3995,22.0163,Everest
240,Moussoro,TD,86.13,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
241,Geraldton,AU,67.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
245,Chegdomyn,RU,80.65,clear sky,51.1167,133.0167,Gostinitsa Bureya
246,Joshimath,IN,72.01,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
247,Castlerea,IE,63.01,clear sky,53.7667,-8.5,Armcashel
248,Severo-Kurilsk,RU,54.54,broken clouds,50.6789,156.125,Kak Doma
249,Charters Towers,AU,71.53,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
252,Tezu,IN,88.21,overcast clouds,27.9167,96.1667,Circuit House
253,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
255,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
256,Tecoanapa,MX,82.15,overcast clouds,16.5167,-98.75,Hotel Manglares
257,Soure,BR,78.76,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
258,San Francisco,US,75.96,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
259,Ranong,TH,78.73,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
260,Nagayo,JP,87.15,broken clouds,32.8242,129.8861,Nagasaki Royal Chester Hotel
263,Grindavik,IS,51.91,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
264,Teknaf,BD,83.97,broken clouds,20.8624,92.3058,Forestry Guesthouse
265,Brigantine,US,79.0,haze,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
266,Buala,SB,80.58,light rain,-8.145,159.5921,Maringe Lagoon Lodge
268,Santa Rosa,PH,76.98,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
271,North Branch,US,79.07,broken clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
272,Inuvik,CA,85.06,clear sky,68.3499,-133.7218,Nova Inn Inuvik
273,Hengyang,CN,88.3,overcast clouds,26.8881,112.615,Honglin Guesthouse
274,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
275,Touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
276,Terney,RU,76.8,broken clouds,45.0503,136.6092,"Hotel ""Ternay"""
277,Marsh Harbour,BS,83.03,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
278,Nargana,PA,82.13,scattered clouds,9.4428,-78.5906,Dubbir
279,Svetlogorsk,BY,61.79,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
280,Vanimo,PG,85.87,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
281,Port Lincoln,AU,54.07,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
282,Cervo,ES,62.64,clear sky,43.6702,-7.4101,Hotel Spa Galatea
283,Inirida,CO,72.16,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
284,Sola,VU,79.43,scattered clouds,-13.8833,167.55,Leumerus Bungalows
285,Amboasary,MG,67.84,clear sky,-25.0333,46.3833,DISCOVERY AMBOASARY
288,Limoux,FR,70.16,broken clouds,42.9167,2.1667,Vayamundo l'Espinet
289,Lebu,CL,52.03,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
291,Erzin,TR,70.32,scattered clouds,36.9559,36.2,Artemis Otel
292,Enugu,NG,74.59,broken clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
297,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
298,Lasa,IT,63.86,clear sky,46.6166,10.7002,Pension Feldgärtenhof
299,Truth Or Consequences,US,89.83,clear sky,33.1284,-107.2528,Charles Motel
300,Bismarck,US,87.64,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
301,Inhambane,MZ,66.13,clear sky,-23.865,35.3833,Oceano
302,Taseyevo,RU,72.36,overcast clouds,57.2169,94.8978,Gloriaca Homestay
303,Andra,RU,62.94,light rain,62.5147,65.8878,"Gostinitsa ""Ob'"""
304,Kijang,KR,89.33,overcast clouds,35.2442,129.2139,Samyang Beach Villa
305,Spirit River,CA,64.92,scattered clouds,55.7833,-118.8361,Motel 49
306,Semikarakorsk,RU,74.21,clear sky,47.5194,40.8112,"The recreation center ""Cossack Quay"""
308,Batemans Bay,AU,60.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
309,Santa Cruz,BO,56.66,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
310,Kindu,CD,68.83,few clouds,-2.95,25.95,Résidence Okanda
311,Portland,US,78.37,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
312,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
313,Garowe,SO,73.36,clear sky,8.4054,48.4845,Curubo Hotel
315,Oktyabrskoye,RU,64.54,clear sky,43.0645,44.7417,Prolesok Mini-hotel
316,Salalah,OM,76.42,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
317,Pacatuba,BR,79.97,scattered clouds,-3.9842,-38.6203,Pousada das Andreias
318,Sinnamary,GF,78.01,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
319,Amantea,IT,71.55,clear sky,39.1332,16.0746,Mediterraneo Palace Hotel
320,Sinnar,SD,72.14,overcast clouds,13.5691,33.5672,هجو الطاهر
321,Saint-Philippe,RE,69.35,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
322,Burnie,AU,53.35,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
324,Oskemen,KZ,66.16,overcast clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
325,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
327,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
328,Fortuna,US,61.72,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
329,Slangerup,DK,62.74,overcast clouds,55.85,12.1833,Skjalm Hvide Hotel
330,Gizo,SB,81.18,moderate rain,-8.103,156.8419,Imagination Island
331,Barcelos,PT,64.92,few clouds,41.5388,-8.6151,Hotel Do Terço
332,Guerrero Negro,MX,69.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
333,Kaohsiung,TW,87.75,broken clouds,22.6163,120.3133,御宿商旅-中山館
334,Cockburn Town,TC,81.77,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
335,Torbay,CA,67.75,light rain,47.6666,-52.7314,Gallows Cove
337,Porto Velho,BR,71.65,clear sky,-8.7619,-63.9039,Hotel Central
338,Pokaran,IN,84.18,broken clouds,26.9167,71.9167,Motel Pokaran - RTDC
340,Palauig,PH,81.01,light rain,15.435,119.9045,Myhousebythesea
341,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
343,Dudinka,RU,60.39,clear sky,69.4058,86.1778,Hotel Viktoria
344,Roma,US,67.12,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
346,Long,TH,83.64,overcast clouds,18.0761,99.8326,Nopphakoe Homestay
347,Tura,IN,81.23,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
348,Moerai,PF,74.8,clear sky,-22.4333,-151.3333,Le Manotel
349,Ganzhou,CN,87.66,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
351,Biloela,AU,60.96,clear sky,-24.4167,150.5,Silo Motor Inn
352,Matagami,CA,59.11,clear sky,49.7502,-77.6328,Hôtel Matagami
353,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
354,Kousseri,CM,75.16,overcast clouds,12.0769,15.0306,Le Pilotis
355,Panorama,GR,75.52,few clouds,40.5878,23.0315,Panorama Hotel
356,Grudziadz,PL,60.84,scattered clouds,53.4841,18.7537,VILLA Grudziądz
357,Mandalgovi,MN,81.52,overcast clouds,45.7625,106.2708,В.Ганбат
358,Gainesville,US,78.67,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
359,Khategaon,IN,79.2,overcast clouds,22.6,76.9167,Dheeraj malviya
360,Ambanja,MG,66.79,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
363,Malartic,CA,59.11,clear sky,48.1335,-78.1328,Camping Regional De Malartic
364,Poum,NC,70.29,clear sky,-20.2333,164.0167,Gîte kajeon
