City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Tsaratanana,MG,2021-07-18 15:05:27,-16.7833,47.65,72.19,62,26,9.64
163,Beringovskiy,RU,2021-07-18 15:05:27,63.05,179.3167,49.19,91,13,9.24
164,Shakawe,BW,2021-07-18 15:05:28,-18.3667,21.85,73.81,19,1,7.27
165,Port Lincoln,AU,2021-07-18 15:00:48,-34.7333,135.8667,53.02,82,98,11.59
166,Tura,IN,2021-07-18 15:01:55,25.5198,90.2201,75.79,96,100,3.4
167,Rawlins,US,2021-07-18 15:05:19,41.7911,-107.2387,71.82,37,1,4.61
168,Meulaboh,ID,2021-07-18 15:05:29,4.1363,96.1285,78.3,78,23,1.39
169,Carutapera,BR,2021-07-18 15:05:29,-1.195,-46.02,86.13,64,9,5.35
170,Chazuta,PE,2021-07-18 15:05:29,-6.5742,-76.1367,81.45,76,88,1.7
171,Mungwi,ZM,2021-07-18 15:05:30,-10.1732,31.3694,71.98,27,67,7.2
172,Namibe,AO,2021-07-18 15:05:30,-15.1961,12.1522,72.16,75,5,9.66
173,Omboue,GA,2021-07-18 15:05:30,-1.5746,9.2618,77.94,68,8,11.88
174,Nhulunbuy,AU,2021-07-18 15:03:15,-12.2333,136.7667,74.01,83,6,8.05
175,Port Hardy,CA,2021-07-18 15:03:11,50.6996,-127.4199,54.73,81,70,2.95
176,Havelock,US,2021-07-18 15:05:31,34.8791,-76.9013,87.98,79,92,5.99
177,Bardiyah,LY,2021-07-18 15:05:31,31.7561,25.0865,81.09,62,0,15.28
178,Poum,NC,2021-07-18 15:05:32,-20.2333,164.0167,73.69,82,42,18.72
179,Buraydah,SA,2021-07-18 15:05:32,26.326,43.975,99.45,16,78,21.7
180,Axim,GH,2021-07-18 15:05:32,4.8699,-2.2405,80.08,65,83,9.37
181,Lagoa,PT,2021-07-18 15:05:33,39.05,-27.9833,68.54,72,0,17.52
182,Codrington,AU,2021-07-18 15:02:29,-38.2667,141.9667,46.94,95,100,8.48
183,Barentu,ER,2021-07-18 15:05:33,15.1139,37.5928,76.73,59,98,7.83
184,Santarem,BR,2021-07-18 15:03:58,-2.4431,-54.7083,90.14,47,8,5.99
185,Sao Joao Da Barra,BR,2021-07-18 15:02:59,-21.6403,-41.0511,77.67,64,0,6.29
186,Bocas Del Toro,PA,2021-07-18 15:05:34,9.3333,-82.25,85.08,77,100,9.6
187,Castro,BR,2021-07-18 15:01:13,-24.7911,-50.0119,53.76,53,6,12.17
188,Yingkou,CN,2021-07-18 15:05:34,40.6648,122.2283,74.93,88,6,5.95
189,Richards Bay,ZA,2021-07-18 15:00:45,-28.783,32.0377,63.91,65,0,4.21
190,Cherskiy,RU,2021-07-18 15:05:35,68.75,161.3,45.7,61,100,5.61
191,Ponta Delgada,PT,2021-07-18 15:03:10,37.7333,-25.6667,74.12,68,20,11.5
192,Lieto,FI,2021-07-18 15:05:36,60.5103,22.4618,73.02,45,0,11.5
193,San Vicente,AR,2021-07-18 15:05:36,-26.6167,-54.1333,49.48,35,0,6.31
194,Urumqi,CN,2021-07-18 15:05:36,43.801,87.6005,74.35,33,0,2.24
195,Huarmey,PE,2021-07-18 15:05:37,-10.0681,-78.1522,67.53,71,49,7.58
196,La Orilla,MX,2021-07-18 15:05:37,17.9833,-102.2333,79.7,87,100,3.91
197,Marzuq,YE,2021-07-18 15:05:37,14.4,46.4667,84.72,44,72,8.86
198,Hualmay,PE,2021-07-18 15:05:38,-11.0964,-77.6139,66.27,72,30,8.7
199,Luau,AO,2021-07-18 15:05:38,-10.7073,22.2247,81.88,18,30,5.41
200,Lompoc,US,2021-07-18 15:05:38,34.6391,-120.4579,64.08,97,90,0.0
201,Tombouctou,ML,2021-07-18 15:05:39,20.0,-3.0,112.6,8,8,4.65
202,Broome,US,2021-07-18 15:02:51,42.2506,-75.833,69.01,96,90,1.99
203,Pacific Grove,US,2021-07-18 15:02:56,36.6177,-121.9166,68.16,94,40,1.01
204,Oranjemund,NA,2021-07-18 15:05:39,-28.55,16.4333,77.92,26,0,8.3
205,Yellowknife,CA,2021-07-18 15:05:40,62.456,-114.3525,61.29,66,64,5.17
206,Alta Floresta,BR,2021-07-18 15:05:40,-9.8756,-56.0861,93.72,24,0,6.85
207,Kalmunai,LK,2021-07-18 15:05:41,7.4167,81.8167,82.08,77,65,5.08
208,Salalah,OM,2021-07-18 15:05:41,17.0151,54.0924,77.09,94,90,6.91
209,Lewisporte,CA,2021-07-18 15:05:41,49.2499,-55.0482,80.13,37,6,8.5
210,Saint George,US,2021-07-18 15:05:42,37.1041,-113.5841,92.53,47,20,3.44
211,Alofi,NU,2021-07-18 15:05:42,-19.0595,-169.9187,76.53,77,21,18.63
212,Turukhansk,RU,2021-07-18 15:05:42,65.8167,87.9833,56.28,66,100,5.06
213,Bagn,NO,2021-07-18 15:05:43,60.8225,9.5521,67.62,42,98,6.35
214,Mount Gambier,AU,2021-07-18 15:05:43,-37.8333,140.7667,45.43,98,100,5.32
215,Aklavik,CA,2021-07-18 15:05:43,68.2191,-135.0107,57.92,78,97,15.14
216,Hella,NO,2021-07-18 15:05:44,67.2,14.4333,51.76,89,75,23.02
217,Arrecife,ES,2021-07-18 15:05:44,28.963,-13.5477,94.98,34,0,20.71
218,Moerai,PF,2021-07-18 15:05:44,-22.4333,-151.3333,74.17,80,100,29.33
219,Paracuru,BR,2021-07-18 15:05:45,-3.41,-39.0306,86.02,57,85,14.58
