City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
141,Falakata,IN,26.5208,89.2055,86.72,75,77,5.01,broken clouds
142,Kahului,US,20.8947,-156.47,86.02,62,20,20.71,few clouds
143,Manadhoo,MV,5.7667,73.3833,83.1,74,68,13.78,broken clouds
144,Ola,RU,59.5833,151.2833,57.74,82,94,11.34,overcast clouds
145,Ostrovnoy,RU,68.0531,39.5131,45.97,77,94,15.35,overcast clouds
146,Mahajanga,MG,-15.7167,46.3167,66.22,77,0,3.44,clear sky
147,Enshi,CN,30.3,109.4833,84.81,71,100,0.92,overcast clouds
148,Port-Cartier,CA,50.0334,-66.8654,58.75,60,100,8.12,overcast clouds
149,Moshenskoye,RU,58.5102,34.5911,56.1,74,53,6.11,broken clouds
150,Dalnerechensk,RU,45.9339,133.7225,90.3,53,48,7.27,scattered clouds
151,Payson,US,40.0444,-111.7321,85.71,37,91,1.01,overcast clouds
152,Hami,CN,42.8,93.45,80.49,40,32,7.99,scattered clouds
153,Bonthe,SL,7.5264,-12.505,76.26,85,100,9.93,light rain
154,Redmond,US,47.674,-122.1215,73.09,67,0,1.01,clear sky
155,Chapais,CA,49.7834,-74.8492,58.78,63,58,5.26,broken clouds
156,Galesong,ID,-5.3166,119.3661,82.42,83,99,2.62,overcast clouds
157,East London,ZA,-33.0153,27.9116,54.79,68,99,20.15,overcast clouds
158,Flin Flon,CA,54.7682,-101.865,67.05,60,98,6.15,overcast clouds
159,Lagoa,PT,39.05,-27.9833,67.46,79,5,19.95,clear sky
160,Kieta,PG,-6.2167,155.6333,82.36,79,100,8.16,light rain
161,Tilichiki,RU,60.4667,166.1,57.02,71,100,5.68,overcast clouds
162,San Cristobal,VE,7.7669,-72.225,75.38,98,45,4.85,scattered clouds
163,Yerbogachen,RU,61.2767,108.0108,70.63,60,91,5.53,overcast clouds
164,Kodiak,US,57.79,-152.4072,55.04,92,100,6.17,overcast clouds
165,Yulara,AU,-25.2406,130.9889,69.64,28,6,6.91,clear sky
166,Bure,ET,10.7,37.0667,56.28,99,100,2.42,moderate rain
167,Hamilton,US,39.1834,-84.5333,76.05,81,1,6.91,clear sky
168,Pindi Gheb,PK,33.2402,72.2661,87.55,60,41,8.16,scattered clouds
169,Port Macquarie,AU,-31.4333,152.9167,59.9,47,90,17.27,overcast clouds
170,Kaitangata,NZ,-46.2817,169.8464,45.93,79,100,3.58,light rain
171,Te Anau,NZ,-45.4167,167.7167,46.9,90,100,2.57,light rain
172,Palmer,US,42.1584,-72.3287,74.66,82,75,0.0,haze
173,Upington,ZA,-28.4478,21.2561,34.18,93,0,3.44,clear sky
174,Nirasaki,JP,35.7,138.45,94.8,51,71,1.01,broken clouds
175,Caravelas,BR,-17.7125,-39.2481,71.29,66,100,10.6,overcast clouds
176,Vidim,RU,56.4088,103.1106,74.57,50,68,4.47,broken clouds
177,Hasaki,JP,35.7333,140.8333,93.29,68,64,8.66,broken clouds
178,Muros,ES,42.7762,-9.0603,65.08,86,33,5.73,scattered clouds
179,Iqaluit,CA,63.7506,-68.5145,42.53,93,90,0.0,light intensity drizzle
180,North Bend,US,43.4065,-124.2243,62.92,78,1,13.8,clear sky
181,Vagur,FO,61.4732,-6.8119,50.34,98,100,12.77,overcast clouds
182,Bhopal,IN,23.2667,77.4,77.23,94,75,10.36,haze
183,Codrington,AU,-38.2667,141.9667,52.3,80,98,11.61,overcast clouds
184,Chuy,UY,-33.6971,-53.4616,43.84,83,1,8.59,clear sky
